TIME,Value
2005W30,"14,991"
2005W31,"13,832"
2005W32,"14,461"
2005W33,"15,091"
2005W34,"14,193"
2005W35,"15,068"
2005W36,"14,807"
2005W37,"14,079"
2005W38,"14,323"
2005W39,"14,531"
2005W40,"14,882"
2005W41,"14,972"
2005W42,"15,427"
2005W43,"15,485"
2005W44,"15,149"
2005W45,"15,314"
2005W46,"15,611"
2005W47,"16,28"
2005W48,"16,866"
2005W49,"16,356"
2005W50,"16,686"
2005W51,"16,5"
2005W52,"16,825"
2006W01,"16,671"
2006W02,"16,649"
2006W03,"16,991"
2006W04,"16,716"
2006W05,"16,884"
2006W06,"16,905"
2006W07,"16,746"
2006W08,"16,307"
2006W09,"16,82"
2006W10,"16,612"
2006W11,"16,396"
2006W12,"16,622"
2006W13,"16,645"
2006W14,"16,113"
2006W15,"16,065"
2006W16,"15,688"
2006W17,"15,575"
2006W18,"15,74"
2006W19,"15,982"
2006W20,"15,156"
2006W21,"14,745"
2006W22,"14,934"
2006W23,"15,32"
2006W24,"16,247"
2006W25,"15,31"
2006W26,"14,754"
2006W27,"15,984"
2006W28,"15,101"
2006W29,"17,233"
2006W30,"18,052"
2006W31,"14,896"
2006W32,"14,468"
2006W33,"14,94"
2006W34,"14,636"
2006W35,"14,69"
2006W36,"14,889"
2006W37,"15,626"
2006W38,"14,983"
2006W39,"14,537"
2006W40,"14,172"
2006W41,"14,751"
2006W42,"15,486"
2006W43,"15,289"
2006W44,"15,128"
2006W45,"15,693"
2006W46,"15,508"
2006W47,"15,469"
2006W48,"15,421"
2006W49,"15,846"
2006W50,"15,7"
2006W51,"15,974"
2006W52,"16,163"
2007W01,"16,945"
2007W02,"16,423"
2007W03,"16,292"
2007W04,"16,061"
2007W05,"16,118"
2007W06,"16,669"
2007W07,"16,714"
2007W08,"17,349"
2007W09,"17,513"
2007W10,"17,41"
2007W11,"17,085"
2007W12,"16,994"
2007W13,"16,994"
2007W14,"16,681"
2007W15,"16,599"
2007W16,"15,914"
2007W17,"16,167"
2007W18,"15,333"
2007W19,"15,234"
2007W20,"15,171"
2007W21,"15,892"
2007W22,"14,375"
2007W23,"15,469"
2007W24,"15,036"
2007W25,"14,877"
2007W26,"14,479"
2007W27,"14,718"
2007W28,"15,113"
2007W29,"16,188"
2007W30,"14,552"
2007W31,"14,333"
2007W32,"15,022"
2007W33,"14,631"
2007W34,"14,516"
2007W35,"13,805"
2007W36,"14,457"
2007W37,"14,549"
2007W38,"15,12"
2007W39,"15,039"
2007W40,"15,203"
2007W41,"15,091"
2007W42,"15,449"
2007W43,"15,995"
2007W44,"16,016"
2007W45,"16,213"
2007W46,"16,072"
2007W47,"16,635"
2007W48,"16,973"
2007W49,"17,372"
2007W50,"16,613"
2007W51,"17,301"
2007W52,"17,888"
2008W01,"18,394"
2008W02,"18,527"
2008W03,"18,17"
2008W04,"17,125"
2008W05,"17,104"
2008W06,"17,006"
2008W07,"16,792"
2008W08,"17,682"
2008W09,"17,224"
2008W10,"17,205"
2008W11,"17,449"
2008W12,"17,034"
2008W13,"16,934"
2008W14,"17,141"
2008W15,"16,494"
2008W16,"16,61"
2008W17,"16,34"
2008W18,"15,939"
2008W19,"16,384"
2008W20,"15,899"
2008W21,"15,203"
2008W22,"15,998"
2008W23,"15,195"
2008W24,"14,587"
2008W25,"15,232"
2008W26,"15,094"
2008W27,"15,38"
2008W28,"14,683"
2008W29,"14,525"
2008W30,"14,893"
2008W31,"16,238"
2008W32,"14,929"
2008W33,"14,523"
2008W34,"14,616"
2008W35,"14,669"
2008W36,"15,009"
2008W37,"14,705"
2008W38,"14,699"
2008W39,"15,288"
2008W40,"15,631"
2008W41,"15,888"
2008W42,"15,607"
2008W43,"15,762"
2008W44,"15,862"
2008W45,"15,85"
2008W46,"15,847"
2008W47,"16,166"
2008W48,"16,52"
2008W49,"16,983"
2008W50,"17,281"
2008W51,"17,373"
2008W52,"17,547"
2009W01,"18,59"
2009W02,"19,982"
2009W03,"20,899"
2009W04,"21,096"
2009W05,"19,97"
2009W06,"20,405"
2009W07,"19,496"
2009W08,"18,792"
2009W09,"18,241"
2009W10,"17,926"
2009W11,"17,164"
2009W12,"16,844"
2009W13,"16,811"
2009W14,"16,66"
2009W15,"16,531"
2009W16,"15,801"
2009W17,"15,656"
2009W18,"15,53"
2009W19,"15,422"
2009W20,"15,258"
2009W21,"15,368"
2009W22,"15,491"
2009W23,"14,989"
2009W24,"15,14"
2009W25,"14,931"
2009W26,"15,358"
2009W27,"15,893"
2009W28,"14,657"
2009W29,"14,914"
2009W30,"14,754"
2009W31,"14,787"
2009W32,15
2009W33,"14,648"
2009W34,"14,714"
2009W35,"14,398"
2009W36,"14,575"
2009W37,"14,592"
2009W38,"14,912"
2009W39,"14,896"
2009W40,"14,999"
2009W41,"15,562"
2009W42,"15,469"
2009W43,"16,375"
2009W44,"15,732"
2009W45,"16,374"
2009W46,"16,372"
2009W47,"16,371"
2009W48,"16,225"
2009W49,"16,338"
2009W50,"16,343"
2009W51,"17,004"
2009W52,"17,812"
2009W53,"17,466"
2010W01,"17,56"
2010W02,"17,776"
2010W03,"17,309"
2010W04,"17,455"
2010W05,"17,59"
2010W06,"17,701"
2010W07,"18,077"
2010W08,"17,898"
2010W09,"17,215"
2010W10,"17,387"
2010W11,"17,683"
2010W12,"16,831"
2010W13,"16,452"
2010W14,"16,025"
2010W15,"16,2"
2010W16,"16,367"
2010W17,"16,356"
2010W18,"15,795"
2010W19,"15,778"
2010W20,"15,788"
2010W21,"16,029"
2010W22,"15,497"
2010W23,"15,919"
2010W24,"15,106"
2010W25,"15,514"
2010W26,"17,346"
2010W27,"16,982"
2010W28,"18,026"
2010W29,"15,543"
2010W30,"14,864"
2010W31,"15,097"
2010W32,"15,406"
2010W33,"15,362"
2010W34,"15,215"
2010W35,"14,979"
2010W36,"15,603"
2010W37,"15,464"
2010W38,"16,031"
2010W39,"15,621"
2010W40,"16,086"
2010W41,"15,909"
2010W42,"16,061"
2010W43,"16,457"
2010W44,"15,981"
2010W45,"16,316"
2010W46,"16,002"
2010W47,"16,553"
2010W48,"17,065"
2010W49,"17,781"
2010W50,"17,683"
2010W51,"18,03"
2010W52,"17,882"
2011W01,"18,087"
2011W02,"17,495"
2011W03,"16,652"
2011W04,"16,909"
2011W05,"17,681"
2011W06,"17,346"
2011W07,"17,294"
2011W08,"17,237"
2011W09,"17,266"
2011W10,"17,722"
2011W11,"17,345"
2011W12,"17,057"
2011W13,"17,41"
2011W14,"15,935"
2011W15,"16,158"
2011W16,"16,907"
2011W17,"16,048"
2011W18,"16,171"
2011W19,"16,306"
2011W20,"15,978"
2011W21,"15,27"
2011W22,"15,698"
2011W23,"15,239"
2011W24,"15,209"
2011W25,"14,879"
2011W26,"15,322"
2011W27,"15,503"
2011W28,"15,228"
2011W29,"14,783"
2011W30,"14,976"
2011W31,"15,92"
2011W32,"15,104"
2011W33,"15,348"
2011W34,"15,887"
2011W35,"15,125"
2011W36,"15,109"
2011W37,"14,887"
2011W38,"15,139"
2011W39,"15,539"
2011W40,"15,576"
2011W41,"15,999"
2011W42,"16,371"
2011W43,"17,142"
2011W44,"16,736"
2011W45,"16,378"
2011W46,"16,914"
2011W47,"16,916"
2011W48,"17,539"
2011W49,"17,688"
2011W50,"17,806"
2011W51,"17,798"
2011W52,"17,723"
2012W01,"17,762"
2012W02,"17,145"
2012W03,"17,454"
2012W04,"16,919"
2012W05,"17,631"
2012W06,"18,37"
2012W07,"18,914"
2012W08,"18,629"
2012W09,"18,149"
2012W10,"17,956"
2012W11,"17,957"
2012W12,"17,341"
2012W13,"17,111"
2012W14,"17,527"
2012W15,"16,912"
2012W16,"17,109"
2012W17,"16,974"
2012W18,"16,563"
2012W19,"15,936"
2012W20,"15,807"
2012W21,"16,533"
2012W22,"15,507"
2012W23,"15,56"
2012W24,"15,398"
2012W25,"15,55"
2012W26,"15,693"
2012W27,"15,832"
2012W28,"14,882"
2012W29,"15,026"
2012W30,"16,293"
2012W31,"15,437"
2012W32,"14,639"
2012W33,"15,597"
2012W34,"16,455"
2012W35,"14,688"
2012W36,"14,983"
2012W37,"15,494"
2012W38,"15,553"
2012W39,"15,974"
2012W40,"15,818"
2012W41,"16,254"
