Timestamp,Sterberate
2000-01-03,31.31846290057323
2000-01-10,31.675622736542394
2000-01-17,32.93961761733786
2000-01-24,33.885059966559716
2000-01-31,35.214204345143244
2000-02-07,33.16873578606112
2000-02-14,31.267507302181993
2000-02-21,29.907051230942194
2000-02-28,29.420287717791627
2000-03-06,28.80677585533852
2000-03-13,27.77617744005345
2000-03-20,27.911353052382033
2000-03-27,27.73135852002416
2000-04-03,27.141387231328675
2000-04-10,27.122750940849684
2000-04-17,27.46180857292984
2000-04-24,26.650350477599385
2000-05-01,25.738661820985314
2000-05-08,26.1652776484646
2000-05-15,25.851744183273794
2000-05-22,24.95349422174404
2000-05-29,25.841121506132307
2000-06-05,25.954346642227932
2000-06-12,24.869280680391686
2000-06-19,27.19603171972342
2000-06-26,24.7545030060675
2000-07-03,24.9716291584476
2000-07-10,24.46910906279909
2000-07-17,25.00727298099145
2000-07-24,25.367389325576475
2000-07-31,25.454980424320453
2000-08-07,24.960225923147608
2000-08-14,26.429891071657007
2000-08-21,23.91355716547229
2000-08-28,24.585456660748072
2000-09-04,25.212390873915968
2000-09-11,25.459862243960178
2000-09-18,25.154851814037276
2000-09-25,25.78664892462468
2000-10-02,25.23881651901976
2000-10-09,27.07136838138323
2000-10-16,26.746608776839693
2000-10-23,26.671735085920194
2000-10-30,26.95012141516865
2000-11-06,27.44812700036151
2000-11-13,27.72112827692982
2000-11-20,27.511326066909927
2000-11-27,27.453310813099282
2000-12-04,27.475356491722767
2000-12-11,27.86305235518374
2000-12-18,28.05083669758927
2000-12-25,29.75623507548779
2001-01-01,29.37349289298745
2001-01-08,27.837679455776073
2001-01-15,28.058636816200394
2001-01-22,28.971031334624225
2001-01-29,28.215695200505525
2001-02-05,28.258951906124523
2001-02-12,27.023202727316583
2001-02-19,27.085967447535374
2001-02-26,28.640261766822274
2001-03-05,28.212449919038562
2001-03-12,27.96583004403471
2001-03-19,27.576505185485573
2001-03-26,27.332061500700167
2001-04-02,27.610512258056758
2001-04-09,26.57167422697548
2001-04-16,27.41203901118053
2001-04-23,27.478182312192505
2001-04-30,27.01994519237667
2001-05-07,26.702178646162192
2001-05-14,25.56883861576659
2001-05-21,26.264849405281545
2001-05-28,25.896981996362314
2001-06-04,25.231380918966888
2001-06-11,25.756068735952912
2001-06-18,24.944371243283054
2001-06-25,26.55503009433737
2001-07-02,26.625535024835887
2001-07-09,25.332987725935173
2001-07-16,25.142443369193675
2001-07-23,26.452074044677666
2001-07-30,26.140253607667013
2001-08-06,24.07889040299072
2001-08-13,26.179816838527575
2001-08-20,25.771325598618862
2001-08-27,24.77325792046448
2001-09-03,24.331233026737422
2001-09-10,25.627372021024126
2001-09-17,25.478860167092062
2001-09-24,25.863537365218992
2001-10-01,26.68133964337707
2001-10-08,26.10248744475754
2001-10-15,25.512000775788927
2001-10-22,25.86200497957684
2001-10-29,25.825631527183546
2001-11-05,26.42751797974017
2001-11-12,27.406798221128593
2001-11-19,27.630330979300524
2001-11-26,27.527750708607776
2001-12-03,27.221816339581633
2001-12-10,27.563627512529525
2001-12-17,29.41373430978134
2001-12-24,30.054770094039384
2002-01-07,28.973807406919065
2002-01-14,29.24322037795107
2002-01-21,28.63104631556553
2002-01-28,29.257256062045368
2002-02-04,27.75798290040961
2002-02-11,27.5319295271947
2002-02-18,27.129232958081538
2002-02-25,28.31073934909387
2002-03-04,28.263704287022193
2002-03-11,28.77055546663525
2002-03-18,28.815334150599707
2002-03-25,28.614518242161786
2002-04-01,28.085518712260992
2002-04-08,28.950597421072928
2002-04-15,28.78756824923272
2002-04-22,27.629647048100267
2002-04-29,27.510051934160284
2002-05-06,26.68798924259462
2002-05-13,26.765574309163522
2002-05-20,26.321250117873152
2002-05-27,25.656688872287653
2002-06-03,24.832852872101665
2002-06-10,26.210530976876246
2002-06-17,25.60686431603991
2002-06-24,27.84938925950098
2002-07-01,24.764231470226292
2002-07-08,24.880236762156024
2002-07-15,25.537878258290323
2002-07-22,24.580326173477182
2002-07-29,24.85162433423821
2002-08-05,26.971983080734052
2002-08-12,24.448688820421957
2002-08-19,25.280074864471832
2002-08-26,25.784133266819662
2002-09-02,25.26520874094482
2002-09-09,24.510127488162123
2002-09-16,24.688232541897346
2002-09-23,25.08492395696365
2002-09-30,25.8756939391304
2002-10-07,26.001096369947703
2002-10-14,26.512039846958185
2002-10-21,27.19001684126349
2002-10-28,27.698961887020022
2002-11-04,26.841025320222414
2002-11-11,26.811723816007
2002-11-18,27.72072567727322
2002-11-25,27.403179392786146
2002-12-02,27.369060376199496
2002-12-09,27.932820792679298
2002-12-16,29.667423940905774
2002-12-23,30.913955033256613
2002-12-30,31.143834502401315
2003-01-06,30.766664698965325
2003-01-13,30.765335261176403
2003-01-20,30.04711923003424
2003-01-27,29.555537984574784
2003-02-03,29.009480652889284
2003-02-10,29.241685008426266
2003-02-17,28.98669377331213
2003-02-24,31.339203457201588
2003-03-03,34.38390669461602
2003-03-10,34.00761285959358
2003-03-17,32.34370776631156
2003-03-24,30.71348373116418
2003-03-31,29.67835810550337
2003-04-07,28.225061805745156
2003-04-14,27.47000074200692
2003-04-21,27.393362617713763
2003-04-28,26.77970187331726
2003-05-05,26.046650582694983
2003-05-12,26.073081228806952
2003-05-19,24.89551587542328
2003-05-26,25.590451871302818
2003-06-02,26.020241315945015
2003-06-09,27.255651010275034
2003-06-16,25.634021592012395
2003-06-23,24.221718316526815
2003-06-30,25.21007070370915
2003-07-07,24.70791374516481
2003-07-14,24.926076898103933
2003-07-21,27.06499090060406
